Name;"METEO - Air Temperature"
AKS;METEO:197:TT
Einheit;°C
"13.1302.26 03:00";6.0
"13.1302.26 04:00";5.9
"13.1302.26 05:00";5.1
"13.1302.26 06:00";5.0
"13.1302.26 07:00";4.9
"13.1302.26 08:00";5.7
"13.1302.26 09:00";5.7
"13.1302.26 10:00";6.0
"13.1302.26 11:00";7.6
"13.1302.26 12:00";8.5
"13.1302.26 13:00";9.1
"13.1302.26 14:00";10.3
"13.1302.26 15:00";10.6
"13.1302.26 16:00";10.4
"13.1302.26 17:00";9.9
"13.1302.26 18:00";8.5
"13.1302.26 19:00";7.0
"13.1302.26 20:00";6.2
"13.1302.26 21:00";5.6
"13.1302.26 22:00";6.8
"13.1302.26 23:00";6.1
"14.1402.26 00:00";5.7
"14.1402.26 01:00";3.9
"14.1402.26 02:00";3.6
"14.1402.26 03:00";3.4
"14.1402.26 04:00";3.9
"14.1402.26 05:00";3.8
"14.1402.26 06:00";3.7
"14.1402.26 07:00";3.8
"14.1402.26 08:00";3.8
"14.1402.26 09:00";4.0
"14.1402.26 10:00";4.2
"14.1402.26 11:00";6.0
"14.1402.26 12:00";6.0
"14.1402.26 13:00";6.0
"14.1402.26 14:00";6.3
"14.1402.26 15:00";6.1
"14.1402.26 16:00";5.5
"14.1402.26 17:00";5.0
"14.1402.26 18:00";4.7
"14.1402.26 19:00";4.1
"14.1402.26 20:00";3.3
"14.1402.26 21:00";3.0
"14.1402.26 22:00";2.6
"14.1402.26 23:00";1.9
"15.1502.26 00:00";1.7
"15.1502.26 01:00";1.5
"15.1502.26 02:00";1.0
"15.1502.26 03:00";0.9
"15.1502.26 04:00";0.7
"15.1502.26 05:00";0.9
"15.1502.26 06:00";0.7
"15.1502.26 07:00";0.6
"15.1502.26 08:00";0.6
"15.1502.26 09:00";0.7
"15.1502.26 10:00";1.0
"15.1502.26 11:00";1.6
"15.1502.26 12:00";2.6
"15.1502.26 13:00";3.3
"15.1502.26 14:00";3.9
"15.1502.26 15:00";3.5
"15.1502.26 16:00";3.6
"15.1502.26 17:00";3.5
"15.1502.26 18:00";3.0
"15.1502.26 19:00";2.4
"15.1502.26 20:00";2.0
"15.1502.26 21:00";2.0
"15.1502.26 22:00";2.1
"15.1502.26 23:00";2.3
"16.1602.26 00:00";1.5
"16.1602.26 01:00";2.0
"16.1602.26 02:00";2.3
"16.1602.26 03:00";5.3
"16.1602.26 04:00";5.2
"16.1602.26 05:00";5.0
"16.1602.26 06:00";4.8
"16.1602.26 07:00";4.7
"16.1602.26 08:00";4.9
"16.1602.26 09:00";5.1
"16.1602.26 10:00";5.7
"16.1602.26 11:00";5.6
"16.1602.26 12:00";5.5
"16.1602.26 13:00";5.7
"16.1602.26 14:00";6.0
"16.1602.26 15:00";6.1
"16.1602.26 16:00";6.8
"16.1602.26 17:00";6.5
"16.1602.26 18:00";5.8
"16.1602.26 19:00";4.0
"16.1602.26 20:00";3.8
"16.1602.26 21:00";3.7
"16.1602.26 22:00";3.7
"16.1602.26 23:00";3.6
"17.1702.26 00:00";3.5
"17.1702.26 01:00";2.9
"17.1702.26 02:00";2.8
"17.1702.26 03:00";2.8
"17.1702.26 04:00";3.0
"17.1702.26 05:00";3.0
"17.1702.26 06:00";2.9
"17.1702.26 07:00";1.5
"17.1702.26 08:00";1.6
"17.1702.26 09:00";1.9
"17.1702.26 10:00";1.7
"17.1702.26 11:00";2.0
"17.1702.26 12:00";2.6
"17.1702.26 13:00";5.0
"17.1702.26 14:00";5.6
"17.1702.26 15:00";5.8
"17.1702.26 16:00";5.6
"17.1702.26 17:00";5.4
"17.1702.26 18:00";4.9
"17.1702.26 19:00";4.2
"17.1702.26 20:00";2.7
"17.1702.26 21:00";2.6
"17.1702.26 22:00";2.3
"17.1702.26 23:00";0.4
"18.1802.26 00:00";0.3
"18.1802.26 01:00";0.1
"18.1802.26 02:00";-0.1
"18.1802.26 03:00";-0.2
"18.1802.26 04:00";0.8
"18.1802.26 05:00";0.6
"18.1802.26 06:00";0.6
"18.1802.26 07:00";-2.2
"18.1802.26 08:00";-2.0
"18.1802.26 09:00";-1.4
"18.1802.26 10:00";0.1
"18.1802.26 11:00";0.9
"18.1802.26 12:00";1.7
"18.1802.26 13:00";0.7
"18.1802.26 14:00";1.0
"18.1802.26 15:00";1.3
"18.1802.26 16:00";1.8
"18.1802.26 17:00";2.0
"18.1802.26 18:00";2.2
"18.1802.26 19:00";0.5
"18.1802.26 20:00";0.5
"18.1802.26 21:00";0.7
"18.1802.26 22:00";1.4
"18.1802.26 23:00";1.5
"19.1902.26 00:00";1.7
"19.1902.26 01:00";1.7
"19.1902.26 02:00";1.4
"19.1902.26 03:00";1.5
"19.1902.26 04:00";1.5
"19.1902.26 05:00";1.6
"19.1902.26 06:00";1.7
"19.1902.26 07:00";1.3
"19.1902.26 08:00";1.5
"19.1902.26 09:00";1.9
"19.1902.26 10:00";2.5
"19.1902.26 11:00";2.7
"19.1902.26 12:00";3.0
"19.1902.26 13:00";4.2
"19.1902.26 14:00";4.5
"19.1902.26 15:00";4.5
"19.1902.26 16:00";4.6
"19.1902.26 17:00";4.6
"19.1902.26 18:00";4.3
"19.1902.26 19:00";4.8
"19.1902.26 20:00";4.5
"19.1902.26 21:00";4.1
"19.1902.26 22:00";4.3
"19.1902.26 23:00";4.2
"20.2002.26 00:00";4.1
"20.2002.26 01:00";4.3
"20.2002.26 02:00";4.0
"20.2002.26 03:00";3.7
"20.2002.26 04:00";4.0
"20.2002.26 05:00";3.5
"20.2002.26 06:00";3.2
"20.2002.26 07:00";3.4
"20.2002.26 08:00";3.0
"20.2002.26 09:00";3.0
"20.2002.26 10:00";3.1
"20.2002.26 11:00";3.4
"20.2002.26 12:00";3.7
"20.2002.26 13:00";4.0
"20.2002.26 14:00";5.6
"20.2002.26 15:00";5.8
"20.2002.26 16:00";5.8
"20.2002.26 17:00";6.2
"20.2002.26 18:00";5.8
"20.2002.26 19:00";5.3
"20.2002.26 20:00";5.7
"20.2002.26 21:00";5.4
"20.2002.26 22:00";5.3
"20.2002.26 23:00";4.8
"21.2102.26 00:00";4.7
"21.2102.26 01:00";4.6
"21.2102.26 02:00";5.0
"21.2102.26 03:00";5.0
"21.2102.26 04:00";5.0
"21.2102.26 05:00";4.8
"21.2102.26 06:00";4.8
"21.2102.26 07:00";4.9
"21.2102.26 08:00";5.3
"21.2102.26 09:00";5.7
"21.2102.26 10:00";6.2
"21.2102.26 11:00";6.5
"21.2102.26 12:00";6.7
"21.2102.26 13:00";7.0
"21.2102.26 14:00";7.4
"21.2102.26 15:00";7.6
"21.2102.26 16:00";7.9
"21.2102.26 17:00";7.8
"21.2102.26 18:00";7.7
"21.2102.26 19:00";7.5
"21.2102.26 20:00";8.3
"21.2102.26 21:00";8.0
"21.2102.26 22:00";7.8
"21.2102.26 23:00";7.6
"22.2202.26 00:00";7.4
"22.2202.26 01:00";6.1
"22.2202.26 02:00";5.7
"22.2202.26 03:00";5.6
"22.2202.26 04:00";4.6
"22.2202.26 05:00";4.6
"22.2202.26 06:00";4.5
"22.2202.26 07:00";4.4
"22.2202.26 08:00";4.4
"22.2202.26 09:00";4.9
"22.2202.26 10:00";7.4
"22.2202.26 11:00";8.5
"22.2202.26 12:00";9.5
"22.2202.26 13:00";9.2
"22.2202.26 14:00";10.0
"22.2202.26 15:00";10.5
"22.2202.26 16:00";11.3
"22.2202.26 17:00";11.0
"22.2202.26 18:00";10.3
"22.2202.26 19:00";9.7
"22.2202.26 20:00";9.1
"22.2202.26 21:00";8.6
"22.2202.26 22:00";8.5
"22.2202.26 23:00";8.1
"23.2302.26 00:00";7.9
"23.2302.26 01:00";8.4
"23.2302.26 02:00";8.1
"23.2302.26 03:00";8.0
"23.2302.26 04:00";7.9
"23.2302.26 05:00";7.7
"23.2302.26 06:00";7.7
"23.2302.26 07:00";7.2
"23.2302.26 08:00";7.1
"23.2302.26 09:00";7.5
"23.2302.26 10:00";9.4
"23.2302.26 11:00";10.1
"23.2302.26 12:00";10.9
"23.2302.26 13:00";10.9
"23.2302.26 14:00";11.6
"23.2302.26 15:00";12.2
"23.2302.26 16:00";12.9
"23.2302.26 17:00";12.8
"23.2302.26 18:00";12.2
"23.2302.26 19:00";9.6
"23.2302.26 20:00";9.2
"23.2302.26 21:00";9.1
"23.2302.26 22:00";9.0
"23.2302.26 23:00";9.8
"24.2402.26 00:00";9.6
"24.2402.26 01:00";9.5
"24.2402.26 02:00";9.3
"24.2402.26 03:00";10.4
"24.2402.26 04:00";10.2
"24.2402.26 05:00";9.9
"24.2402.26 06:00";9.6
"24.2402.26 07:00";9.4
"24.2402.26 08:00";9.3
"24.2402.26 09:00";9.5
"24.2402.26 10:00";10.1
"24.2402.26 11:00";10.6
"24.2402.26 12:00";11.2
"24.2402.26 13:00";11.9
"24.2402.26 14:00";14.1
"24.2402.26 15:00";14.4
"24.2402.26 16:00";14.4
"24.2402.26 17:00";14.4
"24.2402.26 18:00";13.2
"24.2402.26 19:00";11.7
"24.2402.26 20:00";10.9
"24.2402.26 21:00";10.1
"24.2402.26 22:00";9.4
